plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
local://23431,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E09 - Defeat x And x Reunion.mkv,episode,Hunter x Hunter – Season 3 – Episode 9,skipped,media directory does not exist,,,,0
local://23432,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E10 - Chairman x And x Release.mkv,episode,Hunter x Hunter – Season 3 – Episode 10,skipped,media directory does not exist,,,,0
local://23433,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E11 - Salvation x And x Future.mkv,episode,Hunter x Hunter – Season 3 – Episode 11,skipped,media directory does not exist,,,,0
local://23434,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E12 - Past x And x Future.mkv,episode,Hunter x Hunter – Season 3 – Episode 12,skipped,media directory does not exist,,,,0
imdb://tt3055178,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E66 - Breakdown x And x Awakening.mkv,episode,Hunter x Hunter – Season 2 – Strategy x And x Scheme,skipped,media directory does not exist,,,,0
imdb://tt3055180,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E67 - Great Power x And x Ultimate Power.mkv,episode,Hunter x Hunter – Season 2 – 15 x 15,skipped,media directory does not exist,,,,0
imdb://tt3055174,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E68 - Zero x And x Rose.mkv,episode,Hunter x Hunter – Season 2 – Pirates x And x Guesses,skipped,media directory does not exist,,,,0
imdb://tt3055184,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E69 - Hostility x And x Determination.mkv,episode,Hunter x Hunter – Season 2 – A x Heated x Showdown,skipped,media directory does not exist,,,,0
imdb://tt3055176,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E70 - Unparalleled Joy x And x Unconditional Love.mkv,episode,Hunter x Hunter – Season 2 – Guts x And x Courage,skipped,media directory does not exist,,,,0
imdb://tt3055182,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E71 - Formidable Enemy x And x Clear Objective.mkv,episode,Hunter x Hunter – Season 2 – Bargain x And x Deal,skipped,media directory does not exist,,,,0
imdb://tt3055186,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E72 - Magic x to x Destroy.mkv,episode,Hunter x Hunter – Season 2 – Chase x And x Chance,skipped,media directory does not exist,,,,0
imdb://tt3055190,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E73 - Anger x And x Light.mkv,episode,Hunter x Hunter – Season 2 – Insanity x And x Sanity,skipped,media directory does not exist,,,,0
imdb://tt3055194,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E74 - Flash x And x Start.mkv,episode,Hunter x Hunter – Season 2 – Victor x And x Loser,skipped,media directory does not exist,,,,0
imdb://tt3055192,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E75 - Deadline x To x Live.mkv,episode,Hunter x Hunter – Season 2 – Ging's Friends x And x True Friends,skipped,media directory does not exist,,,,0
imdb://tt2919438,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E76 - The Word x Is x You.mkv,episode,Hunter x Hunter – Season 2 – Reunion x And x Understanding,skipped,media directory does not exist,,,,0
imdb://tt3055198,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E77 - This Person x And x This Moment.mkv,episode,Hunter x Hunter – Season 2 – Unease x And x Sighting,skipped,media directory does not exist,,,,0
imdb://tt3055200,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E78 - Homecoming x And x True Name.mkv,episode,Hunter x Hunter – Season 2 – Very x Rapid x Reproduction,skipped,media directory does not exist,,,,0
local://23423,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E01 - Debate x Among x Zodiacs.mkv,episode,Hunter x Hunter – Season 3 – Episode 1,skipped,media directory does not exist,,,,0
local://23424,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E02 - Request x And x Wish.mkv,episode,Hunter x Hunter – Season 3 – Episode 2,skipped,media directory does not exist,,,,0
local://23425,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E03 - Alluka x And x Something.mkv,episode,Hunter x Hunter – Season 3 – Episode 3,skipped,media directory does not exist,,,,0
local://23426,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E04 - Joining the Fray x And x Open Hostilities.mkv,episode,Hunter x Hunter – Season 3 – Episode 4,skipped,media directory does not exist,,,,0
local://23427,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E05 - Magician x And x Butler.mkv,episode,Hunter x Hunter – Season 3 – Episode 5,skipped,media directory does not exist,,,,0
local://23428,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E06 - Needles x And x Debt.mkv,episode,Hunter x Hunter – Season 3 – Episode 6,skipped,media directory does not exist,,,,0
local://23429,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E07 - Sin x And x Claw.mkv,episode,Hunter x Hunter – Season 3 – Episode 7,skipped,media directory does not exist,,,,0
local://23430,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E08 - Approval x And x Coalition.mkv,episode,Hunter x Hunter – Season 3 – Episode 8,skipped,media directory does not exist,,,,0
local://23381,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E39 - Carnage x And x Devastation.mkv,episode,Hunter x Hunter – Season 2 – Episode 39,skipped,media directory does not exist,,,,0
local://23382,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E40 - Infiltration x And x Selection.mkv,episode,Hunter x Hunter – Season 2 – Episode 40,skipped,media directory does not exist,,,,0
local://23383,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E41 - Combination x And x Evolution.mkv,episode,Hunter x Hunter – Season 2 – Episode 41,skipped,media directory does not exist,,,,0
local://23384,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E42 - Tracking x And x Pursuit.mkv,episode,Hunter x Hunter – Season 2 – Episode 42,skipped,media directory does not exist,,,,0
local://23385,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E43 - Ikalgo x And x Lightning.mkv,episode,Hunter x Hunter – Season 2 – Episode 43,skipped,media directory does not exist,,,,0
local://23386,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E44 - Power x And x Games.mkv,episode,Hunter x Hunter – Season 2 – Episode 44,skipped,media directory does not exist,,,,0
local://23387,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E45 - Check x And x Mate.mkv,episode,Hunter x Hunter – Season 2 – Episode 45,skipped,media directory does not exist,,,,0
local://23388,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E46 - Doubt x And x Hesitation.mkv,episode,Hunter x Hunter – Season 2 – Episode 46,skipped,media directory does not exist,,,,0
